-3.78	-1.89296	-3.179	0.337	-1.667	-0.682	-1.641	1.459	-2.3	-0.621	-1.381	-1.172	-0.193	-0.517	0.279	-4.944	-4.582	0.277	-0.45	-2.284	-2.874	-0.853	-3.16	-1.398	-2.712	-4.065	-2.575	-1.828	-0.246	-0.569	-0.848	-1.594	-4.496	-2.99	-3.37	-4.272	-5.326	0.032	-0.269	-2.369	-0.668	-1.498	-1.189	-4.752	-2.488	-0.676	-5.461	-6.02	-2.923	-2.689	-2.333	-1.866	-1.53	-2.507	-0.199	-2.395	-2.969	-2.99	-3.67	-2.477	-2.451	-1.614	-0.761	-2.081	0.094	2.143	-1.27	-0.631	0.405	-3.001	-1.189	-2.9192	-3.4344	-3.1257	-2.8984	-0.91516	-0.52624	0.30442	-1.226	-3.2628	-3.3875	-5.358	-2.2463	-1.5808	-1.3555	-1.1999	-1.3549	-4.2312	-0.808	-2.11	-0.23429	-1.5804	-1.2873	-1.4895	-1.904	-0.49636	0.80345	-3.1692	-3.947	-2.966	-4.985	-2.006	-3.351	-5.392	-4.376	-2.979	-0.534	-1.309	-3.207	-3.673	-1.878	-5.995	-5.204	-3.853	-4.373	-0.682	-2.863	-0.391	-1.01	-0.601	-3.324	-3.362	-3.273	-4.074	-3.382	-3.742	-1.12	-1.333
-4.21	-2.10963	-3.405	0.263	-1.665	-0.664	-1.886	1.593	-2.571	-0.82	-1.491	-1.326	-0.363	-0.664	0.158	-5.528	-5.154	0.311	-0.535	-2.35	-3.126	-0.981	-3.544	-1.593	-3.083	-4.453	-2.939	-1.986	-0.296	-0.588	-1.029	-1.86	-4.964	-3.297	-3.633	-4.819	-5.962	-0.162	-0.333	-2.615	-0.912	-1.678	-1.254	-5.23	-2.667	-0.87	-6.032	-6.651	-3.249	-2.991	-2.601	-2.079	-1.541	-2.711	-0.288	-2.661	-3.234	-3.339	-3.964	-2.616	-2.709	-1.774	-0.961	-2.334	0.102	1.893	-1.413	-0.678	0.426	-3.32	-1.322	-3.0744	-3.8924	-3.3592	-3.2365	-1.0592	-0.58167	0.3062	-1.313	-3.5945	-3.7775	-6.0163	-2.6114	-1.8182	-1.4489	-1.3398	-1.5727	-4.7125	-0.89872	-2.4	-0.40375	-1.7734	-1.6941	-1.591	-2.069	-0.60304	0.94714	-3.5008	-4.209	-3.293	-5.457	-2.177	-3.68	-5.948	-4.75	-3.31	-0.618	-1.404	-3.636	-4.083	-1.988	-6.598	-5.613	-4.26	-4.769	-0.749	-3.196	-0.627	-1.071	-0.728	-3.774	-3.882	-3.679	-4.466	-3.702	-4.113	-1.299	-1.501
-4.628	-2.33825	-3.658	0.179	-1.613	-0.636	-2.121	1.68	-2.819	-1.075	-1.609	-1.486	-0.541	-0.833	0	-6.103	-5.643	0.341	-0.614	-2.405	-3.375	-1.133	-3.885	-1.771	-3.443	-4.81	-3.303	-2.151	-0.411	-0.604	-1.228	-2.183	-5.423	-3.611	-3.865	-5.346	-6.569	-0.365	-0.36	-2.861	-1.139	-1.847	-1.305	-5.74	-2.797	-1.082	-6.512	-7.187	-3.533	-3.265	-2.858	-2.28	-1.545	-2.889	-0.415	-2.892	-3.485	-3.649	-4.238	-2.706	-2.938	-1.941	-1.171	-2.52	0.096	1.584	-1.56	-0.732	0.392	-3.652	-1.365	-3.2023	-4.3646	-3.5629	-3.552	-1.1441	-0.61412	0.28565	-1.4554	-3.8754	-4.1307	-6.5786	-2.9481	-2.0612	-1.5391	-1.4932	-1.6801	-5.1929	-1.0044	-2.64	-0.50695	-1.9612	-1.9844	-1.7363	-2.2444	-0.6952	1.0683	-3.7932	-4.549	-3.626	-5.865	-2.365	-3.985	-6.379	-5.146	-3.614	-0.714	-1.492	-3.984	-4.488	-2.102	-7.096	-5.918	-4.651	-5.108	-0.831	-3.562	-0.942	-1.148	-0.878	-4.21	-4.399	-4.064	-4.842	-4.066	-4.439	-1.539	-1.638
-4.977	-2.56717	-3.835	0.07	-1.581	-0.63	-2.382	1.675	-3.066	-1.299	-1.769	-1.654	-0.733	-0.992	-0.226	-6.618	-5.956	0.349	-0.707	-2.489	-3.579	-1.31	-4.212	-1.952	-3.758	-5.116	-3.643	-2.359	-0.523	-0.645	-1.442	-2.565	-5.824	-3.907	-4.104	-5.822	-7.115	-0.562	-0.429	-3.075	-1.317	-2.045	-1.33	-6.156	-2.86	-1.283	-6.974	-7.639	-3.783	-3.497	-3.102	-2.436	-1.573	-3.039	-0.572	-3.08	-3.723	-3.937	-4.468	-2.824	-3.138	-2.123	-1.395	-2.644	0.075	1.185	-1.7	-0.797	0.328	-3.923	-1.425	-3.2708	-4.8849	-3.7023	-3.8621	-1.2551	-0.64853	0.24374	-1.645	-4.1503	-4.4869	-7.0711	-3.2805	-2.3135	-1.6583	-1.6378	-1.7909	-5.6031	-1.0963	-2.85	-0.63466	-2.1783	-2.1015	-1.8665	-2.3855	-0.7742	1.1716	-4.0518	-4.94	-3.988	-6.173	-2.616	-4.317	-6.735	-5.509	-3.889	-0.81	-1.6	-4.402	-4.853	-2.244	-7.506	-6.153	-5.026	-5.396	-0.92	-3.912	-1.212	-1.227	-1.044	-4.648	-4.834	-4.401	-5.22	-4.347	-4.763	-1.755	-1.825
-5.233	-2.74302	-3.945	-0.085	-1.586	-0.686	-2.665	1.612	-3.285	-1.526	-1.922	-1.8	-0.939	-1.176	-0.476	-7.083	-6.278	0.34	-0.832	-2.584	-3.774	-1.451	-4.51	-2.095	-4.033	-5.379	-3.956	-2.568	-0.596	-0.652	-1.677	-3.025	-6.159	-4.177	-4.282	-6.238	-7.591	-0.761	-0.504	-3.259	-1.467	-2.242	-1.333	-6.507	-2.955	-1.479	-7.346	-8.054	-3.967	-3.791	-3.272	-2.581	-1.582	-3.169	-0.736	-3.213	-3.931	-4.135	-4.619	-2.911	-3.37	-2.286	-1.624	-2.716	0.019	0.709	-1.843	-0.879	0.242	-4.176	-1.476	-3.3178	-5.3811	-3.7649	-4.1175	-1.3448	-0.67626	0.20305	-1.8396	-4.3815	-4.7789	-7.5666	-3.5276	-2.5681	-1.7011	-1.7833	-1.9235	-5.9651	-1.2151	-3.04	-0.76987	-2.3034	-2.0985	-1.9972	-2.5336	-0.82616	1.2318	-4.2531	-5.213	-4.286	-6.39	-2.826	-4.58	-6.977	-5.823	-4.124	-0.902	-1.738	-4.725	-5.151	-2.409	-7.768	-6.417	-5.401	-5.633	-1.005	-4.214	-1.503	-1.261	-1.205	-4.987	-5.223	-4.695	-5.597	-4.621	-5.047	-1.947	-2.017
-5.42	-2.90865	-4.005	-0.262	-1.615	-0.761	-2.946	1.533	-3.481	-1.73	-2.094	-1.947	-1.132	-1.344	-0.7	-7.485	-6.452	0.289	-0.996	-2.645	-3.926	-1.61	-4.797	-2.196	-4.184	-5.608	-4.236	-2.8	-0.666	-0.704	-1.982	-3.409	-6.431	-4.48	-4.382	-6.579	-7.995	-0.994	-0.602	-3.392	-1.605	-2.432	-1.318	-6.743	-3.066	-1.711	-7.667	-8.377	-4.104	-4.041	-3.543	-2.687	-1.563	-3.28	-0.908	-3.312	-4.105	-4.363	-4.719	-2.974	-3.597	-2.415	-1.854	-2.724	-0.017	0.148	-1.973	-0.981	0.138	-4.42	-1.493	-3.3187	-5.8906	-3.8156	-4.3464	-1.3942	-0.72028	0.14547	-2.029	-4.5575	-5.0068	-7.973	-3.7304	-2.798	-1.7339	-1.9058	-2.0222	-6.2554	-1.3276	-3.23	-0.8161	-2.3895	-2.0291	-2.1555	-2.7003	-0.86774	1.2514	-4.3994	-5.392	-4.548	-6.571	-3.007	-4.829	-7.19	-6.081	-4.363	-0.993	-1.888	-4.974	-5.411	-2.541	-7.971	-6.58	-5.789	-5.85	-1.094	-4.47	-1.775	-1.316	-1.312	-5.266	-5.561	-4.931	-5.929	-4.844	-5.265	-2.112	-2.186
-5.566	-3.04458	-4.124	-0.454	-1.656	-0.85	-3.223	1.437	-3.617	-1.921	-2.226	-2.098	-1.336	-1.501	-0.934	-7.791	-6.804	0.179	-1.153	-2.659	-4.026	-1.757	-5.002	-2.25	-4.31	-5.781	-4.467	-3.047	-0.691	-0.71	-2.306	-3.736	-6.624	-4.746	-4.477	-6.855	-8.321	-1.188	-0.659	-3.489	-1.729	-2.647	-1.31	-6.733	-3.164	-1.941	-7.891	-8.578	-4.191	-4.271	-3.773	-2.778	-1.525	-3.382	-1.073	-3.417	-4.236	-4.578	-4.73	-2.988	-3.782	-2.514	-2.092	-2.664	-0.053	-0.458	-2.097	-1.084	0.025	-4.634	-1.494	-3.2704	-6.3587	-3.8646	-4.5308	-1.4904	-0.77248	0.089363	-2.1766	-4.6874	-5.1775	-8.3087	-3.9158	-3.0129	-1.795	-2.0159	-2.1489	-6.4459	-1.4375	-3.39	-0.8964	-2.5091	-1.9224	-2.2793	-2.8303	-0.93256	1.2271	-4.4808	-5.541	-4.737	-6.695	-3.226	-5.021	-7.339	-6.244	-4.517	-1.076	-2.032	-5.182	-5.623	-2.606	-8.135	-6.669	-6.153	-6.022	-1.185	-4.632	-2.08	-1.373	-1.474	-5.433	-5.775	-5.108	-6.161	-5.014	-5.409	-2.239	-2.368
-5.665	-3.16554	-4.141	-0.653	-1.71	-0.972	-3.439	1.313	-3.695	-2.09	-2.361	-2.264	-1.509	-1.697	-1.155	-8.032	-6.978	0.046	-1.294	-2.656	-4.06	-1.875	-5.166	-2.254	-4.364	-5.888	-4.646	-3.314	-0.748	-0.763	-2.604	-4.049	-6.725	-4.955	-4.436	-7.067	-8.556	-1.356	-0.751	-3.536	-1.904	-2.851	-1.3	-6.75	-3.265	-2.169	-8.036	-8.663	-4.211	-4.461	-3.985	-2.845	-1.48	-3.486	-1.231	-3.501	-4.347	-4.726	-4.713	-3.014	-3.888	-2.592	-2.335	-2.557	-0.102	-1.105	-2.189	-1.214	-0.077	-4.78	-1.47	-3.2613	-6.7412	-3.8857	-4.6642	-1.572	-0.82761	0.038578	-2.2889	-4.8052	-5.2999	-8.4616	-4.061	-3.2013	-1.7701	-2.1037	-2.2715	-6.5183	-1.5259	-3.54	-1.0073	-2.5791	-1.7573	-2.4174	-2.9879	-0.99505	1.1551	-4.5027	-5.645	-4.856	-6.688	-3.449	-5.109	-7.363	-6.341	-4.577	-1.17	-2.163	-5.382	-5.755	-2.683	-8.244	-6.702	-6.394	-6.119	-1.3	-4.785	-2.367	-1.395	-1.592	-5.552	-5.865	-5.247	-6.367	-5.101	-5.486	-2.369	-2.55
-5.756	-3.20977	-4.169	-0.832	-1.788	-1.12	-3.604	1.163	-3.767	-2.314	-2.462	-2.435	-1.626	-1.863	-1.346	-8.203	-6.938	-0.119	-1.409	-2.7	-4.092	-1.964	-5.25	-2.21	-4.352	-5.952	-4.765	-3.533	-0.838	-0.83	-2.823	-4.318	-6.777	-5.1	-4.328	-7.182	-8.709	-1.511	-0.834	-3.546	-2.083	-3.02	-1.293	-6.797	-3.352	-2.383	-8.074	-8.66	-4.151	-4.583	-4.115	-2.893	-1.432	-3.578	-1.388	-3.566	-4.444	-4.841	-4.724	-3.079	-3.933	-2.641	-2.547	-2.374	-0.168	-1.724	-2.258	-1.364	-0.214	-4.902	-1.397	-3.2375	-7.0113	-3.9127	-4.7422	-1.6206	-0.88642	-0.0279	-2.3967	-4.8795	-5.3713	-8.5181	-4.1651	-3.3511	-1.7754	-2.1864	-2.3398	-6.5234	-1.5864	-3.71	-1.0974	-2.6354	-1.5437	-2.5223	-3.1254	-1.0633	1.0296	-4.481	-5.751	-4.932	-6.581	-3.699	-5.233	-7.299	-6.397	-4.631	-1.247	-2.278	-5.499	-5.84	-2.753	-8.201	-6.622	-6.493	-6.154	-1.404	-4.872	-2.636	-1.41	-1.708	-5.598	-5.914	-5.357	-6.514	-5.207	-5.487	-2.464	-2.68
-5.77	-3.23939	-4.225	-0.987	-1.879	-1.287	-3.753	0.973	-3.837	-2.475	-2.581	-2.608	-1.737	-1.992	-1.56	-8.301	-6.812	-0.294	-1.529	-2.771	-4.057	-2.012	-5.317	-2.143	-4.315	-5.953	-4.826	-3.752	-0.967	-0.873	-2.994	-4.521	-6.747	-5.181	-4.242	-7.21	-8.772	-1.648	-0.953	-3.527	-2.22	-3.215	-1.255	-6.778	-3.393	-2.571	-8.078	-8.567	-4.042	-4.658	-4.233	-2.93	-1.415	-3.665	-1.534	-3.602	-4.489	-4.908	-4.707	-3.136	-3.961	-2.715	-2.738	-2.138	-0.249	-2.273	-2.299	-1.534	-0.368	-4.993	-1.365	-3.2579	-7.2123	-3.9221	-4.7713	-1.6904	-0.94383	-0.12119	-2.4937	-4.9233	-5.4148	-8.5144	-4.2747	-3.442	-1.7665	-2.2321	-2.403	-6.4853	-1.6521	-3.81	-1.2481	-2.6814	-1.2597	-2.6311	-3.2564	-1.1238	0.87546	-4.4241	-5.887	-5.001	-6.417	-3.957	-5.37	-7.187	-6.431	-4.667	-1.308	-2.404	-5.575	-5.896	-2.794	-8.151	-6.568	-6.526	-6.114	-1.46	-4.946	-2.843	-1.478	-1.861	-5.609	-5.875	-5.425	-6.57	-5.209	-5.516	-2.523	-2.811
